Wall time,Step,Value
1582343609.9073558,232412,9.573555946350098
1582343609.9435194,233172,4.787090301513672
1582343609.9597375,233584,9.698944091796875
1582343609.9600527,233587,7.361329078674316
1582343609.9885287,234291,10.986600875854492
1582343610.077486,236024,8.212057113647461
1582343610.129374,237061,9.689618110656738
1582343610.2016768,238810,4.893621921539307
1582343610.2276616,239459,6.075716018676758
1582343610.246189,239918,4.985481262207031
1582346666.8338654,240216,12.0784330368042
1582346666.9528303,243048,10.673452377319336
1582346666.9737852,243616,5.965991973876953
1582346667.0036907,244339,8.43945026397705
1582346667.0358386,245095,5.295198917388916
1582346667.091267,246532,5.957074165344238
1582346667.0952954,246630,8.21232795715332
1582346667.1125426,247065,5.057127952575684
1582346667.1234102,247342,6.166309833526611
1582346667.225796,249901,4.011816501617432
1582349486.6929712,251051,8.069435119628906
1582349486.7508774,252508,6.386448383331299
1582349486.8114517,253961,7.140278339385986
1582349486.8420236,254677,5.703226566314697
1582349486.8550045,255025,8.27052116394043
1582349486.8894413,255870,4.37990140914917
1582349486.909417,256320,4.832901954650879
1582349486.9292903,256797,8.205512046813965
1582349486.9392707,257067,4.208681106567383
1582349486.9953337,258440,5.545390605926514
1582349487.0351868,259423,4.771210670471191
1582349487.0428154,259602,4.46074914932251
1582352266.691521,261946,4.661868572235107
1582352266.7459407,263208,6.909285068511963
1582352266.751177,263351,6.321834087371826
1582352266.7814746,264112,8.243009567260742
1582352266.8576398,265954,7.1509599685668945
1582352266.9225328,267513,8.306097984313965
1582352266.9264946,267599,5.074892044067383
1582352266.938253,267854,6.646394729614258
1582352266.9853017,268948,3.6912424564361572
1582352266.99542,269213,9.389338493347168
1582352267.0254533,269961,4.560865879058838
1582355021.133696,270273,3.654879093170166
1582355021.1466682,270602,5.648251533508301
1582355021.149977,270695,4.419371604919434
1582355021.2403073,272898,5.862480163574219
1582355021.2725887,273688,6.066013336181641
1582355021.3516202,275594,6.100081920623779
1582355021.3637898,275862,6.567663192749023
1582355021.3720536,276053,5.143599033355713
1582355021.4158173,277074,8.236833572387695
1582355021.4264815,277345,6.2210259437561035
1582355021.444994,277752,5.3987274169921875
1582355021.453615,277939,6.81687593460083
1582357701.948742,280403,7.846156597137451
1582357701.9538856,280527,6.9724202156066895
1582357702.0475385,282440,4.411458492279053
1582357702.1022365,283880,3.6729800701141357
1582357702.1090279,284049,6.707189559936523
1582357702.127727,284482,8.848506927490234
1582357702.1285367,284502,5.951956272125244
1582357702.1871974,285905,5.602033615112305
1582357702.205648,286278,5.089068412780762
1582357702.2703636,287651,5.184687614440918
1582357702.3140347,288707,4.3900604248046875
1582357702.3383827,289304,4.905181407928467
1582357702.361922,289887,5.279433727264404
1582360310.4509442,290538,4.115825176239014
1582360310.5182872,292144,5.42268705368042
1582360310.5918183,293761,5.794393062591553
1582360310.6181526,294365,5.260079383850098
1582360310.6908827,295817,6.029714107513428
1582360310.8193393,298827,7.251215934753418
1582360310.8277183,299002,6.700515270233154
1582362830.5540612,300409,5.590781211853027
1582362830.5614805,300574,5.134993076324463
1582362830.6152313,301882,6.042694091796875
1582362830.6932242,303352,6.214828014373779
1582362830.7261846,304169,5.127613544464111
1582362830.7391455,304486,4.627604961395264
1582362830.8004577,305834,5.344412326812744
1582362830.8411074,306830,4.466487407684326
1582362830.867647,307432,3.399080753326416
1582362830.870631,307495,5.565462112426758
1582362830.9497075,309024,4.502781867980957
1582365313.684741,313412,6.4040751457214355
1582365313.7021983,313856,5.1077117919921875
1582365313.708301,314010,6.4683613777160645
1582365313.7379272,314748,3.788320779800415
1582365313.7445688,314917,3.724440336227417
1582365313.7457418,314945,4.398804187774658
1582365313.8167639,316640,3.4214909076690674
1582365313.872882,317756,3.128788709640503
1582365313.9425223,319292,4.614440441131592
1582367780.5979853,320170,4.959384918212891
1582367780.725307,323007,4.087376117706299
1582367780.7439919,323410,4.059284210205078
1582367780.763466,323829,4.071352481842041
1582367780.7770817,324112,3.0030367374420166
1582367780.7918656,324436,2.884634494781494
1582367780.8141882,324942,3.688218832015991
1582367780.8308191,325283,2.308293342590332
1582367780.8599396,325859,2.158853530883789
1582367780.8917627,326384,5.067969799041748
1582367780.943449,327389,3.067307472229004
1582367780.9790099,328050,3.3165981769561768
1582367781.0334103,329305,4.395456790924072
1582367781.0498345,329690,2.522108793258667
1582370168.9335277,330063,1.877305030822754
1582370169.110169,334051,2.071035623550415
1582370169.1539414,335048,1.6634232997894287
1582370169.1659577,335332,1.473863959312439
1582370169.1983824,335970,2.3969345092773438
1582370169.2314456,336639,1.7305114269256592
1582370169.2454264,336950,2.5933823585510254
1582370169.246723,336977,3.1178951263427734
1582370169.30415,338258,1.561358094215393
1582370169.3651557,339449,1.5840718746185303
1582370169.366278,339478,1.8307818174362183
1582372537.7826707,341393,2.2263970375061035
1582372537.7964478,341725,1.1252350807189941
1582372537.887097,343709,1.8341234922409058
1582372537.888283,343737,2.566774368286133
1582372537.895713,343891,2.5639610290527344
1582372538.0212948,346762,1.1158500909805298
1582372538.0745573,348066,1.6056991815567017
1582372538.1342363,349504,1.4642516374588013
1582372538.1355839,349534,1.2549552917480469
1582372538.1431684,349722,1.0695645809173584
1582374861.385215,350280,2.2299678325653076
1582374861.464102,352112,0.8427433371543884
1582374861.5116918,353185,1.161514401435852
1582374861.5671158,354355,1.076934576034546
1582374861.7026193,357629,1.2161568403244019
1582374861.7029967,357634,1.8119698762893677
1582374861.7261064,358206,0.7708908915519714
1582377205.9539008,363084,0.6228106617927551
1582377205.9578164,363163,1.1824085712432861
1582377205.9596658,363197,0.8705937266349792
1582377205.9862065,363808,0.944213330745697
1582377206.0102015,364383,1.094419240951538
1582377206.0282648,364791,1.2250217199325562
1582377206.058265,365450,0.8508942127227783
1582377206.2368195,369335,1.332080364227295
1582377206.25544,369771,0.8243967294692993
1582377206.2564075,369799,1.3759533166885376
1582379568.1663842,373317,0.4911080598831177
1582379568.2721,375838,1.2087947130203247
1582379568.2893543,376126,0.6418383717536926
1582379568.3265893,376728,1.259599208831787
1582379568.4528751,379388,1.1792281866073608
1582379568.4739723,379856,1.1046395301818848
1582381902.194769,380052,1.054954171180725
1582381902.2158918,380550,1.5113129615783691
1582381902.2883341,382283,0.6446778178215027
1582381902.2920706,382372,1.6624466180801392
1582381902.3927844,384735,1.0724899768829346
1582381902.397173,384829,0.5679667592048645
1582381902.419832,385382,0.7313024997711182
1582381902.4301496,385648,0.9396860599517822
1582381902.4717977,386653,0.8408940434455872
1582381902.5225022,387912,1.5167536735534668
1582381902.5312085,388121,1.4216790199279785
1582384211.846014,390508,1.496259093284607
1582384211.8560543,390755,0.8865860104560852
1582384211.8762596,391272,0.9503154158592224
1582384211.938253,392647,0.6666693091392517
1582384211.940748,392710,1.0994633436203003
1582384211.952113,392983,0.8008059859275818
1582384211.9871986,393839,1.0607410669326782
1582384212.0170772,394616,0.8823421597480774
1582384212.0929875,396222,1.0459015369415283
1582384212.1406865,397244,1.0089346170425415
1582384212.2619934,399914,0.9697009921073914
1582389121.03609,400607,2.070692300796509
1582389121.0900567,401860,1.7838366031646729
1582389121.120546,402511,2.272735595703125
1582389121.1409845,402936,1.0508619546890259
1582389121.151136,403197,1.2186923027038574
1582389121.19564,404283,0.8979113101959229
1582389121.2350495,405199,2.2216668128967285
1582389121.3571646,408111,0.8892263174057007
1582389121.3692713,408409,0.9940264821052551
1582389121.401739,409202,2.0099730491638184
1582393665.1967316,410848,1.5915570259094238
1582393665.270316,412518,1.6971014738082886
1582393665.2881112,412950,1.4351634979248047
1582393665.4520721,416258,1.0913646221160889
1582393665.4954107,417077,1.7576820850372314
